Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
5;1000685;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;высшее;рабочий;>250;3;42;26;Информационные технологии;ЗАО;женат / замужем;4;4;4;2;2;0.1546391753;0;1;0;0;0.4444444444;4;5;82;9;2;0;4;66;1;1;1;0;0;0;0
5;1000705;Свободная форма с печатью работодателя;Ремонт;1;0.24;мужской;1;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000725;Форма банка (без печати работодателя);Ремонт;1;0.24;женский;0;0;среднее-специальное;рабочий;>250;0;6;50;Торговля;Индивидуальный предприниматель;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;92;4;1;1;21;80;0;0;0;0;0;0;0
5;1000745;Форма банка (без печати работодателя);Ремонт;0;0.27;женский;0;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000765;Поступление зарплаты на счет;Обучение;1;0.37;женский;0;0;среднее-специальное;рабочий;>250;0;6;31;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
5;1000785;Форма банка (без печати работодателя);Ремонт;0;0.34;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;37;43;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.010989011;1;0;0;0;0.1428571429;2;5;180;7;2;1;7;98;1;0;0;0;0;0;0
5;1000805;2НДФЛ;Покупка автомобиля;0;0.47;женский;2;0;высшее;менеджер среднего звена;>250;1;52;36;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000825;Форма банка (без печати работодателя);Покупка автомобиля;1;0.41;женский;1;0;среднее-специальное;рабочий;>250;0;89;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000845;Поступление зарплаты на счет;Покупка автомобиля;1;0.52;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;8;29;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.1666666667;1;5;69;6;1;0;31;47;0;0;0;0;0;0;0
5;1000865;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.52;мужской;1;0;среднее-специальное;рабочий;>250;0;122;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000885;Поступление зарплаты на счет;Ремонт;0;0.38;мужской;5;0;высшее;менеджер среднего звена;>250;1;148;38;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000905;Поступление зарплаты на счет;Ремонт;1;0.44;мужской;0;0;среднее;вспомогательный персонал;>250;0;13;46;Торговля;ООО;разведен / разведена;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;103;103;0;0;0;0;0;0;0
5;1000925;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.56;мужской;1;0;высшее;менеджер по продажам;>250;0;8;26;Другое;ОАО;женат / замужем;2;1;1;1;1;0;1;0;0;0;1;3;0;10;3;1;0;7;15;0;0;0;0;0;0;0
5;1000945;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.42;мужской;2;0;высшее;специалист;>250;1;27;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000965;Поступление зарплаты на счет;Ремонт;1;0.43;мужской;0;0;высшее;специалист;>250;0;11;38;Торговля;ООО;холост / не замужем;2;2;1;0;0;0;0;0;0;0;0.6666666667;4;2;174;6;1;1;21;69;0;0;0;0;0;0;0
5;1000985;2НДФЛ;Покупка бытовой техники;0;0.29;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;17;29;Торговля;ОАО;холост / не замужем;2;1;1;1;0;0;1;0;0;0;0.1666666667;1;5;59;6;1;0;12;85;0;0;0;0;0;0;0
5;1001005;2НДФЛ;Другое;1;0.41;мужской;0;0;среднее-специальное;рабочий;>250;3;31;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001025;Форма банка (без печати работодателя);Ремонт;0;0.4;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;< 50;0;7;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001045;2НДФЛ;Покупка земли;0;0.39;женский;1;0;высшее;специалист;>250;1;84;39;Торговля;ОАО;женат / замужем;0;0;0;0;0;0.0363636364;0;0;0;0;0.75;3;1;53;4;2;0;7;33;1;0;0;0;0;0;0
5;1001065;2НДФЛ;Отпуск;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;27;31;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001085;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.22;женский;1;0;высшее;менеджер высшего звена;< 50;0;26;28;Торговля;ООО;женат / замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001105;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.42;мужской;0;0;среднее-специальное;рабочий;>250;1;13;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001125;Поступление зарплаты на счет;Ремонт;1;0.36;мужской;0;0;среднее-специальное;рабочий;>250;0;6;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001145;2НДФЛ;Покупка недвижимости/ строительство;1;0.35;мужской;2;0;высшее;менеджер среднего звена;>250;0;17;37;Сельское и лесное хозяйство;ООО;женат / замужем;0;0;0;0;0;0.0235294118;1;0;0;0;0;0;3;83;3;0;1;23;70;1;0;0;0;0;0;0
5;1001165;Форма банка (без печати работодателя);Ремонт;1;0.42;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;177;48;Другое;Иная форма;холост / не замужем;3;1;1;0;0;0.1485148515;0;0;0;0;0.1428571429;1;6;86;7;0;2;11;77;1;1;1;1;0;0;0
5;1001185;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.26;женский;0;0;незаконченное высшее;специалист;>250;0;7;26;Торговля;ЗАО;гражданский брак;1;1;1;1;1;0.1111111111;0;1;1;1;0.6666666667;2;1;16;3;1;0;1;22;1;0;0;0;0;0;0
5;1001205;2НДФЛ;Ремонт;0;0.33;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;90;26;Другое;ЗАО;холост / не замужем;1;1;0;0;0;0;0;0;0;0;0.1428571429;1;6;56;7;1;0;13;40;0;0;0;0;0;0;0
